month,station_name,line_name,dong_name,transit_dong_code,included_in_3d_map,service_hour,monthly_get_on,monthly_get_off,daily_avg_get_on,daily_avg_get_off,daily_avg_station_pressure
202603,신논현,9호선,논현1동,11230520,1,0,4787,4233,154.419,136.548,290.968
202603,신논현,9호선,논현1동,11230520,1,1,2,683,0.065,22.032,22.097
202603,신논현,9호선,논현1동,11230520,1,2,0,0,0.0,0.0,0.0
202603,신논현,9호선,논현1동,11230520,1,3,0,0,0.0,0.0,0.0
202603,신논현,9호선,논현1동,11230520,1,4,71,0,2.29,0.0,2.29
202603,신논현,9호선,논현1동,11230520,1,5,4408,1710,142.194,55.161,197.355
202603,신논현,9호선,논현1동,11230520,1,6,14416,15495,465.032,499.839,964.871
202603,신논현,9호선,논현1동,11230520,1,7,32915,42491,1061.774,1370.677,2432.452
202603,신논현,9호선,논현1동,11230520,1,8,42915,91903,1384.355,2964.613,4348.968
202603,신논현,9호선,논현1동,11230520,1,9,33053,116861,1066.226,3769.71,4835.935
202603,신논현,9호선,논현1동,11230520,1,10,31222,67141,1007.161,2165.839,3173.0
202603,신논현,9호선,논현1동,11230520,1,11,35940,49338,1159.355,1591.548,2750.903
202603,신논현,9호선,논현1동,11230520,1,12,42050,50801,1356.452,1638.742,2995.194
202603,신논현,9호선,논현1동,11230520,1,13,46697,52464,1506.355,1692.387,3198.742
202603,신논현,9호선,논현1동,11230520,1,14,49268,51605,1589.29,1664.677,3253.968
202603,신논현,9호선,논현1동,11230520,1,15,56455,52116,1821.129,1681.161,3502.29
202603,신논현,9호선,논현1동,11230520,1,16,67557,59820,2179.258,1929.677,4108.935
202603,신논현,9호선,논현1동,11230520,1,17,88736,79584,2862.452,2567.226,5429.677
202603,신논현,9호선,논현1동,11230520,1,18,111934,100847,3610.774,3253.129,6863.903
202603,신논현,9호선,논현1동,11230520,1,19,89620,60764,2890.968,1960.129,4851.097
202603,신논현,9호선,논현1동,11230520,1,20,67600,35491,2180.645,1144.871,3325.516
202603,신논현,9호선,논현1동,11230520,1,21,69767,28457,2250.548,917.968,3168.516
202603,신논현,9호선,논현1동,11230520,1,22,60469,23038,1950.613,743.161,2693.774
202603,신논현,9호선,논현1동,11230520,1,23,28618,14397,923.161,464.419,1387.581
202603,언주,9호선2~3단계,논현2동,11230530,1,0,672,1379,21.677,44.484,66.161
202603,언주,9호선2~3단계,논현2동,11230530,1,1,0,63,0.0,2.032,2.032
202603,언주,9호선2~3단계,논현2동,11230530,1,2,0,0,0.0,0.0,0.0
202603,언주,9호선2~3단계,논현2동,11230530,1,3,0,0,0.0,0.0,0.0
202603,언주,9호선2~3단계,논현2동,11230530,1,4,2,0,0.065,0.0,0.065
202603,언주,9호선2~3단계,논현2동,11230530,1,5,1410,1209,45.484,39.0,84.484
202603,언주,9호선2~3단계,논현2동,11230530,1,6,3258,9186,105.097,296.323,401.419
202603,언주,9호선2~3단계,논현2동,11230530,1,7,7904,27314,254.968,881.097,1136.065
202603,언주,9호선2~3단계,논현2동,11230530,1,8,10857,79450,350.226,2562.903,2913.129
202603,언주,9호선2~3단계,논현2동,11230530,1,9,10745,57431,346.613,1852.613,2199.226
202603,언주,9호선2~3단계,논현2동,11230530,1,10,11149,24515,359.645,790.806,1150.452
202603,언주,9호선2~3단계,논현2동,11230530,1,11,12491,15205,402.935,490.484,893.419
202603,언주,9호선2~3단계,논현2동,11230530,1,12,14159,13124,456.742,423.355,880.097
202603,언주,9호선2~3단계,논현2동,11230530,1,13,15316,17010,494.065,548.71,1042.774
202603,언주,9호선2~3단계,논현2동,11230530,1,14,17681,14124,570.355,455.613,1025.968
202603,언주,9호선2~3단계,논현2동,11230530,1,15,20821,12184,671.645,393.032,1064.677
202603,언주,9호선2~3단계,논현2동,11230530,1,16,26286,13055,847.935,421.129,1269.065
202603,언주,9호선2~3단계,논현2동,11230530,1,17,46963,14531,1514.935,468.742,1983.677
202603,언주,9호선2~3단계,논현2동,11230530,1,18,64857,16071,2092.161,518.419,2610.581
202603,언주,9호선2~3단계,논현2동,11230530,1,19,32204,11126,1038.839,358.903,1397.742
202603,언주,9호선2~3단계,논현2동,11230530,1,20,17995,7359,580.484,237.387,817.871
202603,언주,9호선2~3단계,논현2동,11230530,1,21,14160,8108,456.774,261.548,718.323
202603,언주,9호선2~3단계,논현2동,11230530,1,22,10691,5862,344.871,189.097,533.968
202603,언주,9호선2~3단계,논현2동,11230530,1,23,3665,3752,118.226,121.032,239.258
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,0,904,1399,29.161,45.129,74.29
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,1,0,18,0.0,0.581,0.581
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,2,0,0,0.0,0.0,0.0
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,3,0,0,0.0,0.0,0.0
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,4,0,0,0.0,0.0,0.0
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,5,1100,1312,35.484,42.323,77.806
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,6,5028,7570,162.194,244.194,406.387
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,7,10582,22230,341.355,717.097,1058.452
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,8,12189,64156,393.194,2069.548,2462.742
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,9,10370,52075,334.516,1679.839,2014.355
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,10,8672,24257,279.742,782.484,1062.226
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,11,9819,15677,316.742,505.71,822.452
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,12,11976,14370,386.323,463.548,849.871
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,13,12926,15837,416.968,510.871,927.839
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,14,14430,13496,465.484,435.355,900.839
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,15,16231,12904,523.581,416.258,939.839
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,16,20848,12924,672.516,416.903,1089.419
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,17,36405,15225,1174.355,491.129,1665.484
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,18,56579,16928,1825.129,546.065,2371.194
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,19,31153,12451,1004.935,401.645,1406.581
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,20,17201,9172,554.871,295.871,850.742
202603,선정릉,9호선2~3단계,삼성2동,11230590,1,21,14397,8590,464.419,277.097,741.516
