service_date,service_hour,dong_name,transit_dong_code,included_in_3d_map,transit_inbound,transit_outbound,transit_internal,transit_pressure
20260330,7,논현1동,11230520,1,9545,4190,240,13495
20260330,7,논현2동,11230530,1,10478,1228,231,11475
20260330,7,삼성1동,11230580,1,8616,1098,182,9532
20260330,7,삼성2동,11230590,1,5878,1226,249,6855
20260330,7,대치4동,11230630,1,14619,1579,266,15932
20260330,7,역삼1동,11230640,1,22485,5895,1010,27370
20260330,7,역삼2동,11230650,1,1856,1150,284,2722
20260330,7,압구정동,11230770,0,6773,1261,142,7892
20260330,7,청담동,11230780,1,1885,708,256,2337
20260330,8,신사동,11230510,1,870,319,89,1100
20260330,8,논현1동,11230520,1,13750,6447,526,19671
20260330,8,논현2동,11230530,1,13448,1706,401,14753
20260330,8,삼성1동,11230580,1,9640,1436,325,10751
20260330,8,삼성2동,11230590,1,7180,1566,438,8308
20260330,8,대치4동,11230630,1,15005,2212,446,16771
20260330,8,역삼1동,11230640,1,27470,7684,2032,33122
20260330,8,역삼2동,11230650,1,1658,1151,455,2354
20260330,8,압구정동,11230770,0,9769,1594,211,11152
20260330,8,청담동,11230780,1,2410,758,299,2869
20260330,9,신사동,11230510,1,692,318,108,902
20260330,9,논현1동,11230520,1,8087,4786,562,12311
20260330,9,논현2동,11230530,1,6712,1421,420,7713
20260330,9,삼성1동,11230580,1,4460,1163,328,5295
20260330,9,삼성2동,11230590,1,3677,1353,548,4482
20260330,9,대치4동,11230630,1,8135,1821,378,9578
20260330,9,역삼1동,11230640,1,16716,6011,1815,20912
20260330,9,역삼2동,11230650,1,1071,888,400,1559
20260330,9,압구정동,11230770,0,6172,1433,279,7326
20260330,9,청담동,11230780,1,1476,722,333,1865
20260330,10,신사동,11230510,1,501,265,96,670
20260330,10,논현1동,11230520,1,3964,3425,463,6926
20260330,10,논현2동,11230530,1,2810,1232,337,3705
20260330,10,삼성1동,11230580,1,2575,1212,287,3500
20260330,10,삼성2동,11230590,1,1672,1047,379,2340
20260330,10,대치4동,11230630,1,3752,1890,346,5296
20260330,10,역삼1동,11230640,1,7060,4499,1047,10512
20260330,10,역삼2동,11230650,1,648,655,267,1036
20260330,10,압구정동,11230770,0,3890,1644,304,5230
20260330,10,청담동,11230780,1,805,577,285,1097
20260330,11,신사동,11230510,1,424,316,103,637
20260330,11,논현1동,11230520,1,3089,3561,491,6159
20260330,11,논현2동,11230530,1,2013,1465,334,3144
20260330,11,삼성1동,11230580,1,2356,1619,431,3544
20260330,11,삼성2동,11230590,1,1330,1176,435,2071
20260330,11,대치4동,11230630,1,2827,2180,358,4649
20260330,11,역삼1동,11230640,1,5242,4806,1078,8970
20260330,11,역삼2동,11230650,1,561,640,257,944
20260330,11,압구정동,11230770,0,2984,1935,317,4602
20260330,11,청담동,11230780,1,649,647,321,975
20260330,12,신사동,11230510,1,475,393,100,768
20260330,12,논현1동,11230520,1,3129,3686,476,6339
20260330,12,논현2동,11230530,1,2186,1615,368,3433
20260330,12,삼성1동,11230580,1,2284,1949,442,3791
20260330,12,삼성2동,11230590,1,1369,1270,388,2251
20260330,12,대치4동,11230630,1,3095,2551,406,5240
20260330,12,역삼1동,11230640,1,5478,5247,1130,9595
20260330,12,역삼2동,11230650,1,665,677,260,1082
20260330,12,압구정동,11230770,0,2890,2321,372,4839
20260330,12,청담동,11230780,1,672,673,266,1079
20260330,13,신사동,11230510,1,550,474,153,871
20260330,13,논현1동,11230520,1,3260,3869,542,6587
20260330,13,논현2동,11230530,1,2170,1859,383,3646
20260330,13,삼성1동,11230580,1,2200,2160,532,3828
20260330,13,삼성2동,11230590,1,1332,1429,430,2331
20260330,13,대치4동,11230630,1,3108,2818,406,5520
20260330,13,역삼1동,11230640,1,5568,5930,1216,10282
20260330,13,역삼2동,11230650,1,703,665,260,1108
20260330,13,압구정동,11230770,0,2939,2588,439,5088
20260330,13,청담동,11230780,1,615,798,341,1072
20260330,14,신사동,11230510,1,479,540,157,862
20260330,14,논현1동,11230520,1,3007,4358,585,6780
20260330,14,논현2동,11230530,1,1922,2448,439,3931
20260330,14,삼성1동,11230580,1,1988,2505,501,3992
20260330,14,삼성2동,11230590,1,1221,1570,437,2354
20260330,14,대치4동,11230630,1,2524,3380,412,5492
20260330,14,역삼1동,11230640,1,4702,6525,1231,9996
20260330,14,역삼2동,11230650,1,679,919,313,1285
20260330,14,압구정동,11230770,0,2694,3161,460,5395
20260330,14,청담동,11230780,1,615,858,330,1143
20260330,15,신사동,11230510,1,545,767,227,1085
20260330,15,논현1동,11230520,1,2997,4959,572,7384
20260330,15,논현2동,11230530,1,1957,3011,503,4465
20260330,15,삼성1동,11230580,1,1994,3348,554,4788
20260330,15,삼성2동,11230590,1,1340,1962,543,2759
20260330,15,대치4동,11230630,1,3189,4518,550,7157
20260330,15,역삼1동,11230640,1,4914,7842,1208,11548
20260330,15,역삼2동,11230650,1,902,1013,313,1602
